ID,left-hand context (one sentence),SENTENCE,right-hand context (one sentence),SOURCE,PET,PET_LEMMATIZED,LITERAL_TRANSLATION,NON_EUPH_EQUIVALENT,NON_EUPH_EQUIVALENT_TRANSLATION,CATEGORY,LABEL,A,J,U,W,EUPH_STATUS
444,"– Kapłani dawnych kultów usiłowali spalić święte dziecko tuż po urodzeniu, w ofierze dawnym bogom, lecz ogień nie chciał się rozpalić – rzekł Belszarucur, a Symeon począł teraz słuchać uważniej, bo opowieść w tym właśnie fragmencie przypominać zaczęła znane mu strofy, jak choćby te, o ofierze z Izaaka.","Chaldejczyk mówił dalej, wdzięczny za uwagę Symeona: – Kapłani długo nagabywali Puruszaspę, aż wreszcie, w chwili słabości, uległ im, oddając syna.","Oni porzucili dziecię na pożarcie wilkom, lecz czyż Ahura Mazda, Pan Wszechświata nie jest Bogiem także i nad naturą?",KWJP,uległ im,ulec komuś,to give in to somebody,-,-,sex,0.0,0,0,0,X,sometimes_euph
445,"Fialho de Almeida chętnie wprowadzał do swoich utworów postacie grubo ciosane, wręcz na wpół zwierzęce, zdolne z milczącym okrucieństwem popełniać najgorsze czyny.","Ceną płaconą za realizację własnych pragnień bywa morderstwo, jak w opowiadaniu Sempre amigos („Przyjaciele na zawsze”) z tomiku O país das uvas, gdzie Estragado postanawia zabić Jerolmo, aby pozbyć się konkurenta do stanowiska rządcy majątku.","Zło nie wynika z wadliwych relacji społecznych, lecz jest cechą człowieka, wypływa z głębokich pokładów jego dążeń i ambicji.",KWJP,pozbyć się,pozbyć się,to get rid of,zabić,to kill,illness,1.0,X,1,1,1,sometimes_euph
446,Przed budynkiem stały ukośnie zaparkowane samochody.,Było też kilka niezbyt urodziwych drzew tworzących iluzoryczną ochronę przed słońcem.,"Ale najważniejsze, że miałem stąd świetny widok na jedyny warszawski adres, jaki mnie obchodził – Kazimierzowską dwadzieścia sześć.",KWJP,niezbyt urodziwych,niezbyt urodziwy,not very pretty,-,-,physical appearance,0.0,X,0,0,0,sometimes_euph
447,Miałem złożyć wyjaśnienia.,"Byłem na to gotowy, ale znajomy Rosjanin powiedział, że oszalałem.","Jeśli chcą mnie przesłuchać, to w Polsce lub na terenie ambasady w Moskwie.",KWJP,to,to,it,-,-,sex,1.0,1,0,1,X,sometimes_euph
448,"Nasłuchałam się od koleżanek, że penis za pierwszym razem zada mi ból. No jasne.","Byłam w pełni gotowa, a penisa Adaśka znałam doskonale.","Nauczyłam się go ssać tak, że on pojękiwał równie głośno jak ja.",KWJP,byłam w pełni gotowa,być gotowym,to be ready,być przygotowanym fizjologicznie do stosunku płciowego,to be physiologically ready for sexual intercourse,sex,1.0,1,1,1,X,always_euph
449,Herman jej pasował.,"Był już mocno starszy, owszem, przetrącony przez los, ale życie miał chyba niezłe, wbrew temu, co powiedział Kosoń.",A już na pewno w porównaniu do Zielińskiego.,KWJP,mocno starszy,mocno starszy,much older,old,stary,physical appearance,1.0,X,1,1,1,always_euph
450,"Moi dziadkowie, jako byli fornale, dostali z rozparcelowanego majątku półtora hektara ziemi pod lasem.","Byli szczęśliwi, że wreszcie są u siebie, ale nie mieli ani konia, ani krów czy świń, które dawałyby nawóz, żadnych maszyn, którymi mogliby obrobić tę ziemię.","Chodzili więc do bogatszych gospodarzy i pracowali u nich za gnój, żeby pożyczyć konia czy pług i dopiero wróciwszy z odrobku, gospodarzyli na swoim.",KWJP,obrobić,obrobić,to process,-,-,offenses,0.0,0,0,X,0,sometimes_euph
451,". Pomocnik z kolei powinien sprawnie operować piłką (kłania się np. Jan Kotlarczyk z Wisły), a jeszcze mniej wymagano od skrzydłowego.",Byle taki – twierdzili niektórzy – zdołał dobiec do chorągiewki przy narożniku boiska i stamtąd kropnąć futbolówkę na pole karne.,"Dopiero w latach trzydziestych, po wspomnianej wcześniej rewolucji Chapmana, zwróci się uwagę skrzydłowych na grę krótkimi podaniami, zacznie się od nich wymagać również zdobywania goli, za przykład podając tu między innymi Władysława Króla, legendarnego skrzydłowego ŁKS-u i zarazem jednego z najskuteczniejszych zawodników tamtego okresu.",KWJP,kropnąć,kropnąć,to kick,-,-,death,0.0,X,0,0,0,sometimes_euph
452,"Aleksander Fiodorowicz nie dawał temu wiary, ale faktem było, iż kobiety reagowały wręcz histerycznie na widok wriemienszczika Romanowów, czesały jego wiecznie brudną brodę złotymi grzebykami, by mieć choć włos na pamiątkę albo obcinały mu paznokcie, które potem przyszywały do gorsów swoich sukien.","Być może jego powodzenie u płci pięknej wzięło się stąd, że szeptano o jego nad wyraz ogromnym przyrodzeniu, które jest w stanie zaspokoić żądzę i dać rozkosz nawet najbardziej wymagającej kochance.","Aleksander wywnioskował, iż po prostu owe panie nie zaznawały w małżeńskim łożu wystarczającej ilości pieszczot i dlatego snuły marzenia o ogierach, takich jak Rasputin czy Kamieński, którzy w końcu zaspokoją ich chuć.",KWJP,zaspokoić żądzę,zaspokoić żądzę,to satisfy one's desire,mieć stosunek płciowy,to have sexual intercourse,sex,1.0,1,1,1,X,sometimes_euph
453,"Było miło, poznawczo ciekawie, cała rozmowa oczywiście po imieniu, ale to nie było to.","Brakowało mistyki, nieuchwytnej bliskości Boga ukrytej gdzieś za kratką anonimowego konfesjonału.","Tomasz czuł się bardziej jak na rozmowie terapeutycznej, niż przy intymnej konwersacji z Nim.",KWJP,za kratką,za kratkami,behind the bars,-,-,offenses,0.0,0,0,X,0,sometimes_euph
454,"Bockenheim K., Dworek, kontusz, karabela, Wrocław 2002","Borejsza J.W., Piękny wiek XIX, Warszawa 1990","Borucki M., Polskie gniazda literackie, Warszawa 2009.",KWJP,Piękny wiek,piękny wiek,beautyful age/century,-,-,physical appearance,0.0,X,0,0,0,sometimes_euph
455,"W swojej pierwszej powieści, O fabuloso teatro do gigante („Cudowny teatr olbrzyma”, 2006), a następnie w Deixem falar as pedras („Dajcie mówić kamieniom”, 2011) wraca do górskiego miasteczka Lagares w prowincji Minho i do tradycyjnej funkcji opowiadacza legend.","Bohater i zarazem narrator tej powieści ucieleśnia w pewien sposób kryzys współczesnej młodzieży, z jej kolczykami w różnych częściach ciała, heavy metalem i nadwagą.","Punktem odniesienia okazuje się przywieziony z Lagares dziadek, opowiadacz historii, które ustanawiają kontrapunkt wobec pustki aktualnej kultury popularnej.",KWJP,nadwagą,nadwaga,overweight,-,-,physical appearance,1.0,X,1,1,0,always_euph
456,Jest kanałem porozumienia między żywymi a umarłymi.,"Bohater filmu dokumentalnego Andy’ego Jillingsa „The Himba”, leciwy Kamapia, siada koło świętego ogniska i rozmawia ze swym zmarłym ojcem, który za życia uczył go tej sztuki, rozmawiając ze swoim ojcem – dziadkiem Kamapii.",Ten wieczny ogień tlący się w honorowym punkcie wioski utrzymuje z pokolenia na pokolenie symboliczną ciągłość tradycji.,KWJP,leciwy,leciwy,having many years,stary,old,physical appearance,1.0,X,1,1,1,always_euph
457,"W wielu rodzinach wciąż kobieta słyszy, że jak mąż nie pije i nie bije, to wystarczy.","Bo większość robiła jedno i drugie, i to kobieta, po tym jak dostała lanie, musiała ugotować obiad, sprzątnąć dom i zająć się dziećmi.",Jak by skończyli?,KWJP,sprzątnąć,sprzątnąć,to clean up,-,-,offenses,0.0,0,0,X,0,sometimes_euph
458,Czasami się rozdzielaliśmy i w Bieszczady jechałam sama.,"Bo Tony twierdził, że po górach chodzą tylko kozy i rogacze.","Nasze cykle w telewizji się zazębiały, ale też trzeba je było przygotować.",KWJP,rogacze,rogacz,deer,-,-,sex,0.0,0,0,0,X,sometimes_euph
459,"Wydaje się, że ostatni skandal z rzekomym spaleniem Koranu coś w Pakistanie przełamał.",Bo pomówiona dziewczynka nadal przebywa za kratami.,"Jej zwolnienie uniemożliwia strajk prawników, z którym solidaryzuje się prowadzący sprawę sędzia.",KWJP,dziewczynka,dziewczynka,little girl,-,-,sex,0.0,0,0,0,X,sometimes_euph
460,Jak ktoś Państwu powie takie hasełko – to proszę od razu walić w pysk.,"Bo ono oznacza, że moje dziecko nie jest już moje, dziecko p. Kowalskiej nie jest już dzieckiem p. Kowalskiej...","One są „nasze”, czyli wspólne – co w praktyce oznacza, że decyduje o nich (w „naszym” imieniu...) jakiś „wybrany przez nas” urzędnik.",KWJP,nie jest już dzieckiem,nie być dzieckiem,to be no longer a child,być starym,be old,physical appearance,0.0,X,0,0,0,sometimes_euph
461,Nazwałam jedynie sprawy po imieniu.,"Bez względu na to, jak bardzo Emmi czuł się pokrzywdzony przez Calderone, zabieranie cudzej własności bez jego wiedzy jest kradzieżą, a człowiek, który dopuszcza się podobnego czynu, jest złodziejem.",Prawda boli.,KWJP,zabieranie,zabieranie,taking,kradzież,theft,offenses,1.0,1,1,X,0,sometimes_euph
462,"Bogactwo i różnorodność życia powodują, że w każdej postaci lub zdarzaniu można znaleźć elementy pozytywne i negatywne.","Bez większego trudu można opisać księcia Józefa Poniatowskiego jako dziwkarza, Kościuszkę jako hamletyzującego mięczaka czy późnego Jagiełłę obsadzić w roli safandułowatego rogacza.","Czy oznacza to jednak odebranie im Raszyna, Racławic i Grunwaldu?",KWJP,rogacza,rogacz,deer,zdradzany mężczyzna,cheated man,sex,1.0,1,1,1,X,always_euph
463,"Tu Jurek »Warszawiak« wspominał swoje kolejne dziewczyny i zawodził smętnie na organkach, podpity Piotr «Francuz«, reemigrant z Montesules-Mines, wyśpiewywał na okrągło Marsyliankę, a tolerowany ledwie przez resztę bractwa były profesor lwowskiego gimnazjum klął płaczliwie los, który ściągnął go na tory kolaboracji i złamał życie – stawiając, zamiast na szkolnej katedrze, przy pile tarczowej.","Baza w Tworylnem – gdzie każdy nieplanowany gość budził sensację, skąd na poobiedni spacer na piwo biegało się cztery godziny, gdzie nocami podpici juhasi próbowali zaglądać »na dziewuszki«”.","(…) Pekaes nie bierze „stonki” Wszystkie bazy miały jedną cechę wspólną – prowadziły je osoby do szpiku „zakażone” Bieszczadami, gotowe na niewygody i fizyczną pracę.",KWJP,na dziewuszki,dziewuszka,little girl,prostytutka,prostitute,sex,1.0,1,0,1,X,always_euph
464,"Miocik, fukanie, pazurki.","Basqutsch, na samo wspomnienie o tym, zamierzał opróżnić zawartość żołądka, jednak powstrzymał go fakt, że już wczoraj pożegnał dzień solidnym bełtem.","„No nic, trzeba działać” pomyślał, po czym leniwie oddał mocz, odświeżając granice swojego terenu.",KWJP,bełtem,bełt,bolt,wymioty,vomit,physiology,1.0,1,1,X,1,sometimes_euph
465,Oto najskrytsza tajemnica córki byłego prezydenta.,Aleksandra Kwaśniewska (31 l.) od lat prowadzi podwójne życie.,"Żeby nie rzucać się w oczy i nie ściągać na siebie uwagi - zwłaszcza, gdy jej tata był prezydentem - zdarzało jej się używać fikcyjnego nazwiska.",KWJP,podwójne życie,podwójne życie,double life,-,-,sex,0.0,0,0,0,X,sometimes_euph
466,"Naturalna seksualność to akceptacja tego, że mogą mi się podobać inni mężczyźni niż mój partner.","Ale to nie znaczy, że on przestał mi się podobać albo że zrobię skok w bok.","Kiedy pytam na wykładach dla kobiet, kto widział swoich rodziców przytulonych, całujących się, podnoszą się najwyżej trzy paluszki.",KWJP,skok w bok,skok w bok,jump to the side,zdrada małżeńska,marital infidelity,sex,1.0,1,1,1,X,sometimes_euph
467,"Jak tylko zobaczyłem, co się święci, wcisnąłem pedał w podłogę.","Ale ten złom – wskazał głową na ziła – ma jednak znacznie większą masę, a bruk jest dzisiaj śliski jak brzuch zdechłej flądry.",– Streszczajcie się!,KWJP,flądry,flądra,flounder,-,-,sex,0.0,0,0,0,X,sometimes_euph
468,"Zdumiało mnie, że to ksiądz dawny, i to nie byle jaki, bo kanonik.","Ale śmiał się: „Odkąd szatę duchowną zrzuciłem i za wojnę się wziąłem, mniej mam czasu na dziewki” (że to niby jako ksiądz miał czasu więcej).",Obrzydliwy ten klecha nic sobie ze wstydu nie robił.,KWJP,dziewki,dziewka,maiden,prostytutka,prostitute,sex,1.0,1,1,1,X,always_euph
469,Ten ma śledzić artystkę i dokumentować jej życie okiem Innego.,"Ale śledzenie/bycie śledzonym jest również działaniem tekstotwórczym, jak pisze w innym miejscu Baudrillard – bycie cieniem Innego to ofiarowanie mu (i sobie) podwójnego życia, paralelnej egzystencji, a zatem alternatywnej narracji tożsamościowej.","Tekstotwórcze działanie miasta polega tu przede wszystkim na istnieniu w przestrzeni sekretu, który napędza historię: „[…] śledzenie kogoś jest ekwiwalentem sekretu w przestrzeni miasta, tak jak aluzja jest ekwiwalentem sekretu w mowie, a déjà-vu czy déjà-vecu jest ekwiwalentem sekretu w czasie”.",KWJP,podwójnego życia,podwójne życie,double life,-,-,sex,0.0,0,0,0,X,sometimes_euph
470,"Próba przewartościowania tego i wmawianie, że teraz trzeba zająć się tylko potrzebami podstawowymi, może doprowadzić do bolszewickiego niszczenia wszystkiego, co było starym porządkiem po to, by powrócić do tego, co „prawdziwe”.",Ale przydałoby się strącić parę złotych cielców z naszych przestrzeni…,"Tak, bo jest też pozytywna strona takiego ewentualnego „przewrotu”: w społeczeństwie jest dużo pozoranctwa, osób, których Florian Znaniecki nazywał „podnormalnymi”, czyli takich ludzi, którzy nie potrafią przyjmować wzorców kulturowych, choć próbują to robić, i wykonują źle role społeczne, które przyjmują, i z jakichś względów znajdują uznanie innych.",KWJP,parę złotych,parę złotych,a few złotys,-,-,money,0.0,0,0,0,X,sometimes_euph
471,"Jak mu ktoś przywali, to nie odda, tylko płacze.","Ale jeśli coś mu się stanie, Jadwiga będzie gotowa.",Wszystkich postawi na nogi.,KWJP,będzie gotowa,być gotowym,to be ready,-,-,sex,0.0,0,0,0,X,sometimes_euph
472,– Coś się znajdzie.,"Ale jak już opędzlujesz wszystkie butelki, nic nie kupuję do odwołania!",– Śmieje się.,KWJP,opędzlujesz,opędzlować,to eat or drink everything,-,-,offenses,1.0,1,0,X,1,always_euph
473,"Jedzenie jest jednak dużo gorsze niż wtedy, a poza tym jest zimne.","Ale ja jestem przygotowana – przywiozłam trochę swojego jedzenia – powiedziała nasza mistrzyni świata, która nigdy nie ukrywała, że przed ważnymi zawodami lubi dobrze zjeść.","Włodarczyk ma też drugi cel – pobić własny rekord świata 81,08 m.",KWJP,lubi dobrze zjeść.,lubi dobrze zjeść.,likes to eat well.,-,-,physical appearance,0.0,X,0,0,0,sometimes_euph
474,"Nie można mieć wątpliwości, że to narodziny Wielkiej Miłości.","Ale gdy Dima próbuje skonsumować świeżo zrodzone uczucie, Wika niespodziewanie stawia opór i zamiast rozłożyć szeroko nogi przed jurnym byczkiem, po prostu ucieka.","Ten zaś nie potrafi o dziewczynie zapomnieć – wciąż o niej myśli, dzwoni, zarzucając przy okazji brak zainteresowania.",KWJP,skonsumować,skonsumować,to consume,odbyć stosunek płciowy,to have sexual intercourse,sex,1.0,1,1,1,X,always_euph
475,Salmond nie odpowiedział w niej na kluczowe kwestie związane z secesją.,"Ale był w swoim żywiole: ostro skrytykował cięcia wydatków socjalnych Londynu i zarzucił laburzyście Darlingowi, że uczestnicząc w rządowej kampanii, „spółkuje z torysami"".","Zagroził też, że jeśli Wielka Brytania nie zgodzi się na unię walutową, Szkocja nie przyjmie swojej części długu publicznego.",KWJP,spółkuje z torysami,spółkować z kimś,to partner with somebody,-,-,sex,0.0,0,0,0,X,sometimes_euph
476,Osamotnieni Sprawiedliwi bardzo często musieli stawić czoła wrogości swoich sąsiadów.,"Abram Weit, ukrywający się w stajni, zauważył, że jego dobroczyńcy, Stanisław i Zofia Pagosowie, zmuszeni są prowadzić – ze względu na sąsiadów – „podwójne życie”.","Nie tylko wszystko wokół ukrywającego się robili w ukryciu, ale jeszcze musieli udawać przed sąsiadami, że „nienawidzą Żydów”.",KWJP,podwójne życie,podwójne życie,double life,-,-,sex,0.0,1,0,0,X,sometimes_euph
477,"A ta mi na to, żebym się nie rozmarzał, bo z jej punktu widzenia to mi dopiero wody płodowe odeszły.","A że za pedofilię idzie się do pudła, nie jest zainteresowana.","Potraktowała mnie jak szczyla, uważasz, kompletnie przy tym zlewając moje wysokie urodzenie!",KWJP,pudła,pudło,a box,więzienie,prision,offenses,1.0,1,1,X,1,sometimes_euph
478,"Tym bardziej że zachodnia naukowa seksuologia wyjaśnia, że rozmiar nie ma znaczenia, gdyż najwrażliwsza jest ta najbliższa część waginy, a sławny punkt G znajduje się kilka centymetrów od wejścia.","A więc nie trzeba kochanka z nie wiadomo jaką długością osprzętu, aby zadowolił kochankę.",Beata: Sztuka kochania zaleca też pozycje z nogami w górze.,KWJP,zadowolił kochankę,zadowolić kogoś,to please somebody,doprowadzić do orgazmu,to bring somebody to orgasm,sex,1.0,1,1,1,X,always_euph
479,"Wśród licznych wymogów i drakońskich kar jest i taki, że firmowe auto nie może być ani razu użyte do celów prywatnych.","A przecież wiemy już, że takich celów smutni panowie nie lubią.","Tak więc, kontrolując przedsiębiorcę, będą sprawdzać, którędy każdy samochód jeździł. Informacji udzielą straż miejska, policja, inspekcja transportu drogowego...",KWJP,smutni panowie,smutny pan,a sad man,tajniak,an undercover policeman,offenses,1.0,1,1,X,1,sometimes_euph
480,"Dzieci potrzebują młodych, sprawnych, zdrowych rodziców.","A nie ojców-dziadków, którzy przeżywają drugą młodość i w ten sposób zaspokajają swoje ambicje.",". – A może ty powinieneś zostać księdzem – powiedziała mi wiele lat temu moja babcia, dopytując chwilę wcześniej, kiedy w końcu przedstawię jej swoją narzeczoną.",KWJP,drugą młodość,druga młodość,second youth,robienie czegoś niezgodnie ze swoim wiekiem,doing something against your age,physical appearance,1.0,X,1,1,0,sometimes_euph
481,"Widać jednak wyraźnie, że inspirowani fantastyką naukową inżynierowie czasem wydają się nie dostrzegać, że w tym gatunku rzadko mamy do czynienia z utopijnymi wizjami przyszłości, a częściej z ponurymi dystopiami.","A może właśnie tę dystopię projektują i są tego świadomi, a robią to w imię zysku?","Duplex teoretycznie ma być narzędziem, które pozwoli nam mieć więcej czasu właśnie na istotne rozmowy, lekturę książki, namysł nad sobą.",KWJP,robią to,robić to,to do it,-,-,sex,0.0,0,0,0,X,sometimes_euph
482,– Ta kobieta na pewno pójdzie z tym na policję!,A jeżeli cię wsadzą do paki?,"Pomyśl logicznie: jak będziesz w więzieniu, kto zajmie się dzieckiem?",KWJP,paki,paka,truck bed,więzienie,prision,offenses,1.0,1,1,X,1,always_euph
483,"Ja tam im zresztą nie ufam, nie wiadomo, czy się nagle taki zaropialec nie odwinie, nie chapsnie za ramię czy za łydkę.","A ja, Tomku – siadła wreszcie naprzeciwko i dziobała jak ptaszek swoją porcję, zdecydowanie bardziej dietetyczną niż porcja Tomka – mam zamiar normalnie, we właściwym czasie iść do piachu, a nie szlajać się po mieście jak potępieniec.","Miejsce na cmentarzu jest, ubranie w szafie jest, przez Kaczową uszyte, odprasowane, z apaszką pod szyją, to, co trzeba, spisane leży w kopercie z nazwiskiem siostrzenicy i napisem: „Otworzyć po mojej śmierci”.",KWJP,iść do piachu,iść do piachu,go to the sand,umrzeć,died,death,1.0,X,1,1,1,always_euph
484,Powinienem natychmiast wyjść i szukać Adama!,A ja z lęku przed dyrektorem zostałem w szkole i zabawiam się graniem w amatorskim przedstawieniu!,Skończyłem.,KWJP,zabawiam się,zabawiać się,to play,-,-,sex,0.0,0,0,0,X,sometimes_euph
485,Powiesili.,"A buty, te właśnie wysokie, ze skóry cielęcej, co na nie odkładał, wziął sobie oficer, który na placu Łukiskim w Wilnie go powiesił.",Do dzisiaj pewnie mu służą.,KWJP,wziął,wziąć,to grab,ukraść,to steal,offenses,1.0,1,0,X,1,sometimes_euph
486,"Całość solimy i gotujemy do momentu, gdy mięso przy kości będzie miękkie.","2.Kości wyciągamy i obieramy z nich mięso, następnie kroimy i ponownie dodajemy do wywaru.","Żurek łączymy ze śmietaną, hartujemy i dodajemy do całości.",KWJP,przy kości,przy kości,close to the bone,-,-,physical appearance,0.0,X,0,0,0,sometimes_euph
487,"Rajoyowi spadły okulary, ale poważnych obrażeń nie doznał.","17-letni Andres był niezmiernie z siebie zadowolony i oświadczył policji, że uderzył premiera, bo ten brał lewe pensje pod stołem, i że gdyby mógł, zrobiłby to ponownie.",Trzej pozostali kandydaci potępili napaść i wyrazili solidarność z Rajoyem.,KWJP,brał,brać,to take,brać łapówkę,to take a bribe,offenses,1.0,1,0,X,1,sometimes_euph
488,"To są jakieś stare dziady, które się przyssały do stołków, jakieś wampiry z PRL, które chcą urządzać świat nam, 40-latkom, tudzież tym wszystkim młodym ludziom, których spotykam na protestach. (…)",(…) Ale całe PiS to są stare dziady.,"Nawet ci młodzi są starzy, powyjmowani z szuflad, zakonserwowani w starych scenografiach.",KWJP,dziady,dziad,crank,dziadek/przodek,grandfather/ancesor,physical appearance,1.0,X,1,1,1,always_euph
489,A ja biegłem – biegnę w dół aż do tych pytań ojca lub matki: „Co ty masz zawsze takie czerwone policzki?”.,„Zgrzałem się” – odpowiadałem machinalnie.,Odpowiadam.,KWJP,zgrzałem się,zgrzać się,to weld,spocić się,to sweat,physiology,0.0,0,0,X,0,sometimes_euph
490,Zagrożona władza chwyta się coraz ostrzejszych środków.,"„Władzy raz zdobytej nie oddamy nigdy” – to nie tylko manifest towarzysza Gomułki, ale wieczna mrzonka „charyzmatycznych” przywódców.",Dochodzi do założenia obozu w Berezie Kartuskiej.,KWJP,nie oddamy,nie oddać,to not return,-,-,offenses,0.0,0,0,X,0,sometimes_euph
491,"Gorzej, że Danielowi zdarzały się zachowania niemające nic wspólnego z dobrym smakiem ani kulturą osobistą.","„Przyszedł też kiedyś w nocy z kolegą i jakimiś panienkami, niespecjalnie przejmując się tym, że śpię.",Całą noc musiałam znosić głośną muzykę i wrzaski.,KWJP,panienkami,panienka,lady,prostytutka,prostitute,sex,1.0,1,0,1,X,always_euph
492,Brzmiała w nich wtedy złowieszcza nuta.,"„Nie mów źle o Gomułce, bo się zainteresują tobą smutni panowie”.","„Śmiej się, śmiej z politycznych dowcipów, zobaczymy, czy smutni panowie też będą mieć poczucie humoru”",KWJP,smutni panowie,smutny pan,a sad man,tajniak,an undercover policeman,offenses,1.0,1,1,X,1,sometimes_euph
493,– Co się stało? – spytał.,– Wyczyścili nam konta bankowe – powiedziała Susan drżącym głosem.,– Ukradli wszystko – dodał Paul,KWJP,wyczyścili,wyczyścić,to clean up,porozkradać do końca,to steal everything,offenses,1.0,1,1,X,1,sometimes_euph
494,Nie ma o czym mówić – tłumaczył się.,"– Wiesz, Jaca, znam jednego typka, który mógłby skombinować ci świerszczyka.","Jak chcesz, mógłbym pogadać z nim na spacerniku w sobotę.",KWJP,skombinować,skombinować,to scare sth up,ukraść/pozyskać nielegalnie,to steal/obtain illegaly,offenses,1.0,1,1,X,1,sometimes_euph
495,"Ot, po zbyt długim czasie spędzonym pod ziemią wystawiono biedaka na nagłe działanie promieni słonecznych…",– Trzeba znów obrobić konwój! – gestykulował żywiołowo Czawem.,– Po ostatniej utracie sprzętu żołnierze na pewno już zamówili kolejną dostawę.,KWJP,obrobić,obrobić,to process,okraść,to rob,offenses,1.0,1,1,X,1,sometimes_euph
496,Tak jakby geny homoseksualizmu wzmacniały płodność u kolejnych pokoleń samic.,"– To oznacza, że spółkowanie z osobnikiem tej samej płci, choć wydaje się ewolucyjnie bez sensu, może wspierać rozwój całego gatunku – twierdzą autorzy tego eksperymentu w artykule w piśmie naukowym „Proceedings of The Royal Society B”.","Przed kilkoma tygodniami bardzo podobny mechanizm odkryli naukowcy z uniwersytetu w Uppsali w Szwecji u chrząszczy, znanych z upodobania do gejowskich przygód.",KWJP,spółkowanie z osobnikiem,spółkować z kimś,to partner with somebody,mieć z kimś stosunek płciowy,to have sexual intercourse with someone,sex,1.0,1,1,1,X,always_euph
497,"– A więc to jednak prawda, o czym mówi się od tygodnia? – zagadnął mnie.",– Szef sprowadził sobie nową panienkę.,"– Pewnie nie pierwszy raz? – wyrwało mi się, choć nie zamierzałam tego powiedzieć na głos.",KWJP,panienkę,panienka,lady,prostytutka,prostitute,sex,1.0,1,1,0,X,sometimes_euph
498,Koledzy z Legii od razu podbiegają do Piechniczka.,"– Stary, jak sędzia gwizdnie koniec, to lepiej spierdalaj do szatni!",Po meczu turecka policja rozkazuje piłkarzom Legii zostać na środku boiska.,KWJP,gwizdnie,gwizdnąć,to whistle,-,-,offenses,0.0,0,0,X,0,sometimes_euph
499,Na szczęście dla Kasi na ścieżce „z widokiem” byli jacyś ludzie.,"– Sądzę, że on podczas tego spaceru sprawdzał, czy jestem typem studentki, która za zaliczenie pójdzie z nim do łóżka – stwierdza.","Mimo że wykładowcy już nigdy potem nie udało się wyciągnąć Kasi na spotkanie, tamto zdarzenie miało duży wpływ na jej późniejsze studia.",KWJP,pójdzie z nim do łóżka,pójść do łóżka,to go to bed,mieć stosunek płciowy,to have sexual intercourse,sex,1.0,1,1,1,X,always_euph
500,A sam rodem jestem z Suwalszczyzny – mówi.,"– Rodzice i dziadowie walczyli za Polskę, to rozumiem tematy.","Bandy, UPA, te rzeczy, to sam pan widzi, że mnie w tym temacie nie ma.",KWJP,dziadowie,dziad,crank,dziadek/przodek,grandfather/ancesor,physical appearance,0.0,X,0,0,0,sometimes_euph
501,"Nikt go nie gonił ani nie szukał. Kiedy mógł znów iść, wstał i poszedł dalej przed siebie.","– Ranę trzeba będzie wyczyścić, bo zasklepiła się razem z ziemią… – powiedział doktor.",– Jak pan stracił palec wskazujący?,KWJP,wyczyścić,wyczyścić,to clean up,-,-,offenses,0.0,0,0,X,0,sometimes_euph
502,"– Spokojna głowa, umiem rozmawiać z ludźmi – odpowiedziała i otarła usta wierzchem dłoni.","– Przecież to glina, a gliny z zasady nie ufają ludziom.","Z gliniarstwa się nie wychodzi, nawet wtedy, gdy zrzuca się mundur.",KWJP,glina,glina,clay,policjant,policeman,offenses,1.0,1,1,X,1,sometimes_euph
503,Podchodzi kobieta.,– Poznałam kogoś i stało się.,Zgrzeszyłam.,KWJP,stało się,stało się,it happened,doszło do stosunku płciowego,sexual intercourse occured,sex,1.0,1,1,1,X,sometimes_euph
504,"Babka z recepcji powiedziała, że Głowacki nie przyprowadzał do domu kobiet, ani ona, ani nikt z personelu nie był tego świadkiem, więc jak zobaczyłem te majtki…",– Postanowiłeś je świsnąć. – Irek prychnął.,– Ja pieprzę…,KWJP,świsnąć,świsnąć,to whizz,ukraść,to steal,offenses,1.0,1,1,X,1,always_euph
505,"– Doktor dotknął błyszczącej na serdecznym palcu obrączki, jakby zaczęła go parzyć.","– Pola Rajewicz dała mi jasno do zrozumienia, że liczy na coś więcej.",– Miał pan romans? – powtórzył komisarz.,KWJP,coś więcej,coś więcej,something more,stosunek płciowy,sexual intercourse,sex,1.0,1,1,1,X,sometimes_euph
506,"Na Świętego Mateusza listonosz przyniósł powołanie, zaraz potem dostałem przydział, ale jednostki na oczy nie widziałem.",– Podmuchał i wziął kolejny łyk.,– Do wku mnie zawezwali i pytają: wolisz dwa lata zasadniczej czy sześć miesięcy na misji?,KWJP,wziął,wziąć,to grab,-,-,offenses,0.0,0,0,X,0,sometimes_euph
507,"Pani Agnieszka kierowała działem handlowym amerykańskiej firmy akcesoriów komputerowych, zaś pani Małgorzata była charakteryzatorką na planach zdjęciowych i w teatrze.","– Obie czułyśmy, że potrzebujemy czegoś więcej, chciałyśmy się realizować, to znaczy dać światu kawałek nas, naszej wrażliwości i estetyki – opowiada Małgorzata Kotlonek-Horoch.",– Od najmłodszych lat kształciłam się plastycznie.,KWJP,czegoś więcej,coś więcej,something more,-,-,sex,0.0,0,0,0,X,sometimes_euph
508,Rąbnęłaś jej zastrzeżone informacje.,"– Nie rąbnęłam, tylko skopiowałam.",– A nie wychodzi na to samo?,KWJP,rąbnęłam,rąbnąć,to bang,ukraść,to steal,offenses,1.0,1,1,X,1,sometimes_euph
